"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLA2G2A.2",1.65172308311965e-71,-1.94543424020361,0.012,0.379,3.42121402206572e-67,"2","PLA2G2A"
"MFAP5.2",3.18141028612966e-69,-1.58201612436426,0.079,0.442,6.58965512566036e-65,"2","MFAP5"
"KLF2",1.15060169709428e-67,-0.747547836677168,0.522,0.82,2.38324129519138e-63,"2","KLF2"
"SERPINF1.2",1.33240119222742e-66,-1.18974940999483,0.243,0.583,2.75980258946066e-62,"2","SERPINF1"
"KLF4.1",1.88121352689219e-66,-0.729316055847232,0.109,0.474,3.8965575782518e-62,"2","KLF4"
"PLAT.2",3.67192433673395e-61,-0.864473603006318,0.062,0.399,7.60565687867704e-57,"2","PLAT"
"DCN.2",7.29659672414552e-61,-1.92380207134234,0.344,0.609,1.51134407947226e-56,"2","DCN"
"TNXB.2",7.94732312484218e-58,-0.867512400716348,0.123,0.448,1.64612903884856e-53,"2","TNXB"
"SLPI.2",1.97143450277718e-56,-1.19577529827536,0.085,0.424,4.08343228560237e-52,"2","SLPI"
"SFRP1.2",4.29370616190584e-56,-0.864747134695546,0.085,0.41,8.89355357315556e-52,"2","SFRP1"
"FBLN2.2",1.38910352291344e-54,-1.05116773907553,0.16,0.455,2.87725012701061e-50,"2","FBLN2"
"MGST1.2",1.40611399021132e-54,-0.831976130762022,0.14,0.443,2.91248390792471e-50,"2","MGST1"
"IGF1.2",9.59390879191102e-54,-0.816241423476847,0.022,0.319,1.98718632806853e-49,"2","IGF1"
"CXCL14.2",1.93728541987434e-46,-1.55868326239589,0.02,0.287,4.01269929018573e-42,"2","CXCL14"
"RHOB.1",1.84988571110011e-41,-0.735161729327359,0.462,0.679,3.83166827340167e-37,"2","RHOB"
"GADD45B.1",6.63845957349133e-41,-1.10095001226461,0.504,0.725,1.37502413145726e-36,"2","GADD45B"
"SOST",0,1.78372345056571,0.796,0.023,0,"3","SOST"
"DLX6-AS1",0,1.49565646590536,0.807,0.026,0,"3","DLX6-AS1"
"LMO2",0,1.48882669939904,0.829,0.084,0,"3","LMO2"
"TSPAN13",2.11730576424812e-307,0.877074882702278,0.539,0.007,4.38557542948714e-303,"3","TSPAN13"
"SUCNR1",7.65866889702431e-293,1.57014351115692,0.627,0.027,1.58634008864065e-288,"3","SUCNR1"
"DLX5",2.88282202912989e-287,1.2527223100522,0.87,0.113,5.97118926893675e-283,"3","DLX5"
"RAMP1.1",5.39873329095459e-208,1.34983429582997,0.959,0.276,1.11823962655543e-203,"3","RAMP1"
"IGFBP2.2",1.25764380648029e-183,1.50413083284718,0.953,0.3,2.60495761636263e-179,"3","IGFBP2"
"LMO7",1.25883283729072e-177,0.824622873624882,0.707,0.117,2.60742045588026e-173,"3","LMO7"
"FRZB.1",7.13362624796368e-174,1.55793703918725,0.981,0.473,1.47758800474072e-169,"3","FRZB"
"PFN2",8.40385807216037e-165,1.09228595532332,0.845,0.268,1.74069112248658e-160,"3","PFN2"
"PDE5A",9.0010787932167e-137,1.11037353061531,0.901,0.404,1.86439345043898e-132,"3","PDE5A"
"MYH10.3",4.34900367122029e-136,1.03822759826044,0.895,0.296,9.00809130419858e-132,"3","MYH10"
"SPINT2.2",1.40226514122728e-135,0.861966589745184,0.848,0.251,2.90451178702407e-131,"3","SPINT2"
"PLK2",2.78711511281887e-134,0.863375718095551,0.682,0.161,5.77295153318172e-130,"3","PLK2"
"ATP1B1",1.07520209589964e-125,0.801007555376337,0.68,0.166,2.22706610123693e-121,"3","ATP1B1"
"SPARCL1.1",2.57743680815568e-107,-1.65316711346822,0.376,0.887,5.33864486073286e-103,"3","SPARCL1"
"MAP1B.1",2.94960680812568e-106,1.03984003721791,0.942,0.655,6.10952058167071e-102,"3","MAP1B"
"FHL1.1",1.27113271769574e-102,1.30437281947005,0.931,0.687,2.63289719816319e-98,"3","FHL1"
"LMCD1",2.85951077105361e-95,0.810947296499573,0.782,0.317,5.92290466008334e-91,"3","LMCD1"
"DCN.3",2.83073490838746e-90,-3.33843945735865,0.008,0.625,5.86330121574294e-86,"3","DCN"
"OGN.1",8.7710074911606e-90,0.934662455751128,0.961,0.701,1.81673878164409e-85,"3","OGN"
"PDLIM3.1",3.32986732577647e-85,0.841884273302486,0.878,0.501,6.89715419188081e-81,"3","PDLIM3"
"OSR1",6.27051028220749e-81,0.764997145950176,0.638,0.218,1.29881079475364e-76,"3","OSR1"
"SERPINF1.3",2.49661725355968e-79,-1.79833774664058,0.011,0.578,5.17124331729816e-75,"3","SERPINF1"
"CFH",6.81453942718808e-79,-1.2868444648121,0.03,0.591,1.41149555155347e-74,"3","CFH"
"CPE",3.80817898023615e-75,-0.847866049005639,0.425,0.861,7.88788112176314e-71,"3","CPE"
"CCND1",1.36120931654214e-72,0.983483738197812,0.71,0.335,2.81947285735373e-68,"3","CCND1"
"CEBPD",2.50882891138009e-72,-1.19694907058554,0.522,0.861,5.19653732414158e-68,"3","CEBPD"
"ID4.1",4.97389035371791e-71,0.72811002120971,0.909,0.546,1.03024190896559e-66,"3","ID4"
"SNCG.1",9.00509747398594e-71,0.74120917694347,0.71,0.29,1.86522583978671e-66,"3","SNCG"
"NNMT",1.86753421340993e-69,-0.935281833328035,0.42,0.8,3.86822361623599e-65,"3","NNMT"
"SELENOP.1",3.47541894753472e-69,-0.79393703810022,0.11,0.627,7.19863526602867e-65,"3","SELENOP"
"LUM.2",1.77878049713503e-68,-1.80718329390144,0.008,0.524,3.68438804371579e-64,"3","LUM"
"PPP1R14A.1",3.07207144724301e-67,0.727615515534514,0.876,0.422,6.36318158867444e-63,"3","PPP1R14A"
"NR4A1.1",3.01382026580077e-65,-1.00777520475123,0.13,0.616,6.24252591655313e-61,"3","NR4A1"
"C1S.2",2.95281537019551e-62,-1.20175007909584,0.392,0.72,6.11616647628597e-58,"3","C1S"
"FGF7",5.39448165017207e-62,-0.858434062086433,0.061,0.554,1.11735898420014e-57,"3","FGF7"
"CCDC80.2",7.60730982914802e-62,-1.58231024091059,0.387,0.709,1.57570208491143e-57,"3","CCDC80"
"ACKR3.2",3.83821179477387e-59,-1.24628353485225,0.086,0.54,7.95008809051511e-55,"3","ACKR3"
"SFRP2.2",4.96242536732497e-59,-2.73284170374363,0.036,0.498,1.02786716633402e-54,"3","SFRP2"
"FBLN2.3",1.24883170179435e-54,-1.19265599011697,0.003,0.445,2.58670510392664e-50,"3","FBLN2"
"EFEMP1.1",2.13296283019923e-54,0.736817931050169,0.939,0.657,4.41800591019167e-50,"3","EFEMP1"
"GPX3.1",8.83280624565636e-54,-0.740135290043975,0.102,0.54,1.8295391576628e-49,"3","GPX3"
"KLF2.1",9.44328031104628e-53,-0.855345062338055,0.456,0.797,1.95598665082702e-48,"3","KLF2"
"EGR1.1",3.01430817350935e-51,-0.780995880416378,0.552,0.82,6.24353651978992e-47,"3","EGR1"
"CFD.3",6.96171292499629e-51,-3.84990269649052,0.044,0.457,1.44197959815448e-46,"3","CFD"
"MGST1.3",2.49443972045384e-50,-0.941577630187325,0.011,0.428,5.16673299297603e-46,"3","MGST1"
"C3.3",9.62157756371201e-50,-1.28775729006946,0.008,0.421,1.99291736077167e-45,"3","C3"
"MFAP5.3",2.53644614914611e-49,-1.67588456327781,0.003,0.413,5.25374090872633e-45,"3","MFAP5"
"TNXB.3",5.74189487288641e-49,-0.951716300933021,0.019,0.428,1.18931868502096e-44,"3","TNXB"
"ITM2A.2",4.82973556752187e-48,-0.941511197748555,0.075,0.474,1.0003831281008e-43,"3","ITM2A"
"MT2A",1.91249216547772e-47,-1.10405741283925,0.558,0.798,3.961345022354e-43,"3","MT2A"
"WISP2.2",3.15511622883636e-47,-1.32888416845038,0.052,0.449,6.53519224478875e-43,"3","WISP2"
"SLPI.3",4.46666895479435e-45,-1.76052588579918,0.011,0.398,9.25181140606554e-41,"3","SLPI"
"PI16.3",4.05922097255806e-44,-1.3568111696104,0.011,0.39,8.40786440045951e-40,"3","PI16"
"APOD.3",9.34138125774574e-44,-2.8083543137378,0.008,0.384,1.93488029991688e-39,"3","APOD"
"MMP2.2",1.43203143809658e-41,-0.797846770184764,0.088,0.454,2.96616671772946e-37,"3","MMP2"
"FBLN1.2",4.5620502748428e-41,-2.04035891329972,0.271,0.554,9.44937473428189e-37,"3","FBLN1"
"PDGFRL.2",2.39208102678306e-40,-0.721775142233803,0.108,0.469,4.95471743077574e-36,"3","PDGFRL"
"PLAT.3",1.91305951614487e-39,-0.833393916524988,0.017,0.369,3.96252017579087e-35,"3","PLAT"
"SFRP4.2",2.942999234408e-39,-1.74611776038518,0.116,0.462,6.09583431422928e-35,"3","SFRP4"
"IGFBP4.2",4.43500735117781e-38,-0.812526257388568,0.331,0.612,9.18623072649461e-34,"3","IGFBP4"
"PLA2G2A.3",8.94426897193642e-38,-1.85860623855005,0.006,0.341,1.85262643215719e-33,"3","PLA2G2A"
"ABI3BP.2",3.09995109523992e-31,-0.745075983848685,0.188,0.481,6.42092870357046e-27,"3","ABI3BP"
"IGF1.3",4.07964687634745e-30,-0.770592339685231,0.008,0.289,8.45017257497847e-26,"3","IGF1"
"CXCL14.3",5.6842985651542e-27,-1.53435298935532,0.006,0.261,1.17738876180039e-22,"3","CXCL14"
"RERGL.2",1.50679245331902e-25,-0.864712304218719,0.003,0.246,3.12101920855969e-21,"3","RERGL"
"PTN",4.59596058173589e-22,0.94522344721323,0.406,0.206,9.51961315294955e-18,"3","PTN"
"FBN1.2",5.87129071001579e-21,-0.821196686037704,0.268,0.478,1.21612044476557e-16,"3","FBN1"
