"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"PCOLCE2",2.47771907547639e-227,1.32237412931267,0.683,0.152,5.13209952103424e-223,"0","PCOLCE2"
"LRP1",7.16916603823562e-224,0.842145057085731,0.847,0.338,1.48494936149974e-219,"0","LRP1"
"RAMP1",3.29989302766585e-222,-1.11262508221963,0.009,0.587,6.83506842820428e-218,"0","RAMP1"
"LUM",3.05313677149681e-219,0.830155978419556,0.849,0.207,6.32396219480134e-215,"0","LUM"
"PLN",9.06606850025517e-219,-0.986371905929265,0.006,0.577,1.87785476845785e-214,"0","PLN"
"CTSK",1.70822957187879e-218,0.891609634933492,0.792,0.27,3.53825591223255e-214,"0","CTSK"
"ITGA8",6.18402111121034e-216,-0.892138461942618,0.018,0.588,1.280896292765e-211,"0","ITGA8"
"CRIP2",1.54146890993315e-207,-0.870211275777898,0.318,0.804,3.19284455314454e-203,"0","CRIP2"
"IGFBP2",3.97762486049866e-205,-1.67532044672228,0.048,0.597,8.23885437355087e-201,"0","IGFBP2"
"LMOD1",5.10225497232464e-205,-0.90811622297538,0.231,0.749,1.0568300724176e-200,"0","LMOD1"
"PSAP",2.83615352150699e-204,0.724000507433446,0.931,0.62,5.87452478909743e-200,"0","PSAP"
"UAP1",7.75742748103154e-204,0.752132955711796,0.606,0.11,1.60679595414606e-199,"0","UAP1"
"F3",4.97318401855772e-201,0.791639040960383,0.578,0.083,1.03009560576386e-196,"0","F3"
"ANXA2",1.30482350496129e-196,0.759010906028758,0.96,0.753,2.70268092582633e-192,"0","ANXA2"
"HES4",2.20940924133633e-195,-0.837925197368315,0.041,0.576,4.57634936157994e-191,"0","HES4"
"PIK3R1",3.44915909396871e-191,0.778976758017582,0.754,0.272,7.14424323133738e-187,"0","PIK3R1"
"ISYNA1",9.87937105151052e-188,-0.70056612943538,0.037,0.555,2.04631412589937e-183,"0","ISYNA1"
"NEXN",5.59767243195689e-184,-0.939027612244867,0.139,0.652,1.15944589083123e-179,"0","NEXN"
"MXRA8",1.07745384357188e-183,0.707034109923837,0.806,0.378,2.23173014619044e-179,"0","MXRA8"
"MCAM",3.80978547383861e-183,-0.803740074218548,0.007,0.506,7.89120865196192e-179,"0","MCAM"
"GPX3",1.09179408308486e-178,0.859474942811268,0.748,0.316,2.26143308429367e-174,"0","GPX3"
"PCOLCE",4.44974083812761e-177,0.732337709346836,0.876,0.47,9.21674819801373e-173,"0","PCOLCE"
"CSRP1",5.39239360915157e-177,-0.99718454743125,0.347,0.764,1.11692648826357e-172,"0","CSRP1"
"RARRES1",7.27634890613626e-175,1.16543347063803,0.534,0.087,1.507150148928e-170,"0","RARRES1"
"NEAT1",1.49265215311914e-171,0.990679592255555,0.925,0.614,3.09173040475567e-167,"0","NEAT1"
"SNCG",9.07877538754306e-171,-0.888171277735825,0.046,0.535,1.88048674602179e-166,"0","SNCG"
"LBH",3.24121661359289e-168,-0.77790980341024,0.083,0.576,6.71353197173495e-164,"0","LBH"
"SELENOP",3.89653937158445e-167,0.725081305797169,0.809,0.404,8.07090200036286e-163,"0","SELENOP"
"OMD",8.44636935480966e-166,0.73226596273525,0.836,0.347,1.74949648446173e-161,"0","OMD"
"LTBP4",9.12535060560995e-166,0.778354644102588,0.866,0.496,1.89013387093999e-161,"0","LTBP4"
